document_id,clean_text,sentiment
Abstract 36,"In recent years, machine learning (ML) has been used more and more to solve complex tasks in different disciplines, ranging from Data Mining to Information",Positive
Abstract 37,"We argue that manual and automatic thesauruses are alternative resources for the same NLP tasks. This involves the radical step of interpreting manual thesauruses as classifications of words rather than word senses: the case for this is made. The range of roles for thesauruses within NLP is briefly presented and the WASPS thesaurus is introduced. Thesaurus evaluation is now becoming urgent. A range of evaluation strategies, all embedded within NLP tasks, is proposed.",Positive
Abstract 38,"Introduction  Patterns in music have been the object of intensive studies in the past years. \One of the purposes of analyzing musical structure and form is to discover the patterns that are explicit or implicit in musical works"" Simon [13]. Patterns comprise periodicity, make use of alphabets, can be compound (made up of subpatterns) and possess phrase structure with various forms of punctuation. Traditionally, composers have employed pattern propagation intuitively, but algorithmic composition techniques allow the pattern propagation to be formalized, albeit a high level. During composition, all the musical patterns evolve according to the rules and constraints specied at the design stage. In jazz improvisation, the musician invents a solo guided by a progression of chords (the changes). One approach [1] to learn improvising is to memorize patterns (short chunks of music) that t sub-progressions, and to concatenate them to form a whole solo that ts a whole progression. One",Positive
Abstract 39,"Abstract Many information retrieval(IR) systems retrieve relevant documents based on exact matching of keywords between a query and documents. This method degrades precision rate. In order to solve the problem, we collected semantically related words and assigned semantic relationships used in general thesaurus and a special relationship called keyfact term(FT) manually. In addition to the semantic knowledge, we automatically constructed statistic knowledge based on the concept of mutual information. Keyfact is an extended concept of keyword represented by noun and compound noun. Keyfact can be a verb and an adjective including subject or object term. We first retrieved relevant documents with original query using tf * idf weighting formula and then an expanded query including keyfacts is used in both second document ranking and word sense disambiguating. So we made an improvement in precision rate using keyfact network. 1",Positive
Abstract 40,this paper we argue that questionanswering  (QA) over technical domains  is distinctly different from TREC-based  QA or Web-based QA and it cannot  benefit lom data-intensive approaches,Positive
Abstract 41,Universit&quot;at des Saarlandes,Negative
Abstract 42,Proceedings of the Workshop on,Positive
Abstract 43,uni-hamburg.de,Negative
Abstract 44,SRI has developed a new architecture for integrating speech and natural-language processing that applies linguistic constraints during recognition by incrementally expanding the state-transition network embodied in a unification grammar. We compare this dynamic-gralnlnar-network (DGN) approach,Positive
Abstract 45,This chapter considers the revolution that has taken place in natural language processing research over the last five years. It begins by providing a brief guide to the structure of the field and then presents a caricature of two competing paradigms of 1980s NLP research and indicates the reasons,Negative
Abstract 46,"visual development environment to support the visual assembly, execution and analysis of modular natural language processing systems. The visual model is an executable data flow program graph, automatically synthesised from data dependency declarations of language processing modules. The graph",Negative
Abstract 47,"In this Chapter the basic uses of Description Logics for Natural Language Processing will be analysed, together with a little bit of history, and the role of Description Logics in the current state of the art in computational linguistics will be pointed out.  18.1 Introduction  Since the early days",Positive
Abstract 48,"We applied a structure learning model, Max-Margin Structure (MMS), to natural language processing (NLP) tasks, where the aim is to capture the latent relationships within the output language domain. We formulate this model as an extension of multi–class Support Vector Machine (SVM) and present a",Negative
Abstract 49,"-mation Infrastructure, digital libraries, networked services, digital convergence or intelligent agents. This attention is moving natural language processing along the critical path for all kinds of novel applications. This article will mention a number of successful applications of natural language processing (NLP",Negative
Abstract 50,"Over the last few years, a number of areas of natural language processing have begun applying graph-based techniques. These include, among others, text summarization, syntactic parsing, word sense disambiguation, ontology construction, sentiment and subjectivity analysis, text clustering",Positive
Abstract 51,"In Natural Language Processing (NLP), research results  from software engineering and software technology  have often been neglected.",Positive
Abstract 52,Abstract not found,Negative
Abstract 53,"of kernelized sorting to increase its robustness and performance on several Natural Language Processing (NLP) tasks: document matching from parallel and comparable corpora, machine transliteration and even image processing. Empirically we show that, on these tasks, a semi-supervised variant of kernelized",Negative
Abstract 54,"will be structured. In the words of statistical natural language processing, we need a sophisticated statistical model of the basic elements, such as words or phrases, to be combined with the structural modeling such as syntactic parsing or dependency analysis. Since the basic property of these elements",Negative
Abstract 55,"In this paper, we describe a framework for developing probabilistic classifiers in natural language processing. Our focus is on formulating models that capture the most important interdependencies among features, to avoid overfitting the data while also characterizing the data well. The class",Negative
Abstract 56,"Many Natural Language Processing (NLP) techniques have been used in Information Retrieval. The results are not encouraging. Simple methods (stopwording, porter-style stemming, etc.) usually yield significant improvements, while higher-level processing (chunking, parsing, word sense disambiguation",Positive
Abstract 57,Abstract- This paper explains the information retrieval using natural language processing for Malayalam language in these basic,Positive
Abstract 58,Abstract not found,Negative
Abstract 59,"in the state of the art plan recognition systems. This paper will outline the relations between natural language processing(NLP) and plan recognition(PR), argue that each of them can effectively inform the other, and then focus on key recent research results in NLP and argue for their applicability to PR. 1",Positive
Abstract 60,"in the state of the art plan recognition systems. This paper will outline the relations between natural language processing(NLP) and plan recognition(PR), argue that each of them can effectively inform the other, and then focus on key recent research results in NLP and argue for their applicability to PR. 1",Positive
Abstract 61,"Information retrieval is the process of finding the documents in a document collection that satisfies the information need of the user. The documents are natural language constructs, and the motivation of this work is to investigate how natural language processing can be used to improve",Positive
Abstract 62,"of logic programming within both natural language research and machine learning, we point out opportunities for induction of linguistic knowledge within logic (programming).  Keywords: inductive logic programming, natural language processing, logic programming, machine learning. 1 Introduction  There is a",Negative
Abstract 63,"What is a statistical method and how can it be used in natural language processing (NLP)? In this paper, we start from a definition of NLP as concerned with  the design and implementation of effective natural language input and output components  for computational systems. We distinguish three",Negative
Abstract 64,"In this report, some collaborative work between the fields of Machine Learning (ML) and Natural Language Processing (NLP) is presented. The document is structured in two parts. The first part includes a superficial but comprehensive survey covering the state--of--the--art of machine learning",Positive
Abstract 65,"Abstract. This thesis examines the use of machine learning techniques in various tasks of natural language processing, mainly for the task of information extraction from texts. The objectives are the improvement of adaptability of information extraction systems to new thematic do-mains (or even",Positive
Abstract 66,Abstract not found,Negative
Abstract 67,Abstract not found,Negative
Abstract 68,This chapter examines the application of natural language processing to computerassisted language learning including the history of work in this field over the last thirtyfive years but with a focus on current developments and opportunities.  36.1,Positive
Abstract 69,"Traditional approaches tointerpretation in natural language processing typically fall into one of three classes: syntax-driven, semantics-driven, or frame/task based. Syntax-driven approaches use a domain-independent grammar to drive the interpretation process and produce a global parse",Negative
Abstract 70,"Natural Language Processing (NLP) is a very large and diverse subtopic of artificial intelligence. As a result, NLP itself has many subtopics including optical character recognition, text to speech translators, foreign language reading and writing aids, machine translation, and speech recognition",Negative
Abstract 71,"Probabilistic finite-state string transducers (FSTs) are extremely popular in natural language processing, due to powerful generic methods for applying, composing, and learning them. Unfortunately, FSTs are not a good fit for much of the current work on probabilistic modeling for machine",Positive
Abstract 72,"ABSTRACT. In this special issue of TAL, we look at the fundamental principles underlying evaluation in natural language processing. We adopt a global point of view that goes beyond the horizon of a single evaluation campaign or a particular protocol. After a brief review of history and terminology",Positive
Abstract 73,"Natural language processing systems (NLP) that extract clinical information from textual reports were shown to be effective for limited domains and for particular applications. Because an NLP system typically requires substantial resources to develop, it is beneficial if it is designed to be easily",Positive
Abstract 74,"facts forms a link between IE, a recent development in Natural Language Processing, and logic programming with Prolog. 1",Negative
Abstract 75,"We describe a single convolutional neural network architecture that, given a sentence, outputs a host of language processing predictions: part-of-speech tags, chunks, named entity tags, semantic roles, semantically similar words and the likelihood that the sentence makes sense (grammatically",Positive
Abstract 76,Abstract not found,Negative
Abstract 77,We developed a prototype information retrieval system  which uses advanced natural language processing  techniques to enhance the effectiveness of traditional  key-word based document retrieval. The backbone  of our system is a statistical retrieval engine  which performs automated indexing,Negative
Abstract 78,In this paper we will discuss several issues and requirements for enabling natural language processing systems to become context-adaptive. Given the fact that emerging systems feature speaker independent continuous speech recognition restricted to individual domains and are equipped with syntactic,Negative
Abstract 79,"In Fall 2004 I introduced a new course  called Applied Natural Language Processing,  in which students acquire an understanding  of which text analysis techniques  are currently feasible for practical applications.",Positive
Abstract 80,Abstract: Natural language processing is the study of mathematical and computational modelling of various aspects of language and the improvement of a wide range of systems. Natural language is any language that arises as an innate facility for language possessed by the human intellect; it may,Negative
Abstract 81,"Natural Language Processing (NLP), which is a branch of artificial intelligence, includes speech synthesis, Speech recognition, and Machine translation. Natural Language Processing has a wide range of applications in the Indian context. Most of the rural Indian community is unable to make use",Positive
Abstract 82,"An Evaluation of LOLITA and related Natural Language Processing Systems  Paul Callaghan  Submitted to the University of Durham for the degree of Ph.D., August 1997  ---------------------  This research addresses the question, ""how do we evaluate systems like LOLITA?"" LOLITA is the Natural",Negative
Abstract 83,"Previous work demonstrated that Web counts can be used to approximate bigram counts, suggesting that Web-based frequencies should be useful for a wide variety of Natural Language Processing (NLP) tasks. However, only a limited number of tasks have so far been tested using Web-scale data sets",Positive
Abstract 84,This chapter examines the application of natural language processing to computerassisted language learning including the history of work in this field over the last thirtyfive years but with a focus on current developments and opportunities.  16.1 Introduction  This chapter focuses on applications,Positive
Abstract 85,"This paper describes a natural language system which improves its own performance through learning. The system processes short English narratives and is able to acquire, from a single narrative, a new schema for a stereotypical set of actions. During the understanding process, the system attempts",Positive
Abstract 86,"We classify and review current approaches  to software infrastructure for research, development  and delivery of NLP systems. The task",Positive
Abstract 87,Confidence measures are a practical solution for improving the usefulness of Natural Language Processing applications. Confidence estimation is a generic machine learning approach for deriving confidence measures. We give an overview of the application of confidence estimation in various fieldsn,Negative
Abstract 88,"! lex-sign sense-id : sense-id dictionary ? = ""LDOCE"" ! lex-sign sense-id : sense-id ldb-entry-no ? = ""12364"" ! lex-sign sense-id : sense-id sense-no ? = ""0"".  When loaded into the LKB, (9) will be expanded into a fully-fledged representation for the transitive use of experience; by integrating word-specific information provided by (9) with the information encoded by the LKB type strict-trans-sign. Thus, although neither LDOCE, LLCE or the earlier subcategorised lexicon contain all the information about psychological verbs defined in Sanfilippo&aposs type system, by using the conjunction of information available from all three, it proved possible to effectively enrich this information at the same time as mapping it into a formal representation.  4.2.5 Towards a Multilingual LKB  A goal of ACQUILEX is to demonstrate that an LKB can be produced that usefully exploits various MRD sources and integrates multilingual information. The use of a common LRL with a common type system, makes it possi...",Positive
Abstract 89,Abstract not found,Negative
Abstract 90,"We describe the design and use of the Stanford CoreNLP toolkit, an extensible pipeline that provides core natural lan-guage analysis. This toolkit is quite widely used, both in the research NLP community and also among commercial and govern-ment users of open source NLP technol-ogy. We suggest",Negative
Abstract 91,"Gaussian Processes (GPs) are a powerful mod-elling framework incorporating kernels and Bayesian inference, and are recognised as state-of-the-art for many machine learning tasks.",Positive
Abstract 92,:  A fundamental issue in natural language processing is the prerequisite of an enormous quantity of preprogrammed knowledge concerning both the language and the domain under examination. Manual acquisition of this knowledge is tedious and error prone. Development of an automated acquisition,Negative
Abstract 93,Abstract not found,Negative
Abstract 94,""" that supports sophisticated natural language processing while significantly simplifying the interface between domain-specific knowledge and general linguis- tic resources. This paper presents the results of our experiences in designing and using the upper model in a variety of applications over the past 5 years",Negative
Abstract 95,"into the same or neighboring map nodes. Nodes may thus be viewed as word categories. Although no a priori information about classes is given, during the self-organizing process a model of the word classes emerges. The central topic of the thesis is the use of the SOM in natural language processing. The approach",Positive
Abstract 96,"This paper presents a workbench built by Priberam Informática for the development of the company’s natural language processing technology. This workbench includes a set of linguistic resources and software tools that have been applied in a considerable number of practical purposes, covering",Positive
Abstract 97,Abstract—Natural Language Processing (NLP) is an effective approach for bringing improvement in educational setting. Implementing NLP involves initiating the process of learning through the natural acquisition in the educational systems. It is based on effective approaches for providing a solution,Positive
Abstract 98,"ABSTRACT: After twenty years of disfavor, a technology has returned which imitates the processes of the brain. Natural language experiments (Sejnowski & Rosenberg: 1986) demonstrate that neural network computing architecture can learn from actual spoken language, observe rules of pronunciation",Positive
Abstract 99,"Text statistics are frequently used in stylometry and cryptography studies. In this paper, some text statistics tools are developed in ISO Prolog for natural language processing. Details are given on the usage of 21 user-callable predicates. Logic and limitations of the program are also discussed",Positive
Abstract 100,"We summarize our experience using FrameNet in two rather different projects in natural language processing (NLP). We conclude that NLP can benefit from FrameNet in different ways, but we sketch some problems that need to be overcome. 1",Positive
